"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"0500000US42073","Lawrence County, Pennsylvania","86727","*****","80717","145","3153","272","77","43","403","91","0","24","276","139","2101","287","28","19","2073","283"
"0500000US42075","Lebanon County, Pennsylvania","139729","*****","121005","887","3449","354","132","85","1989","147","65","68","10134","954","2955","619","1177","500","1778","327"
"0500000US42077","Lehigh County, Pennsylvania","365052","*****","289545","2224","26932","1478","1030","427","12220","497","178","216","22460","2087","12687","1328","2440","587","10247","1163"
"0500000US42079","Luzerne County, Pennsylvania","317663","*****","278303","1410","16212","1071","626","151","3968","259","176","118","11920","1417","6458","733","1169","326","5289","681"
"0500000US42081","Lycoming County, Pennsylvania","114330","*****","105254","199","5665","310","221","83","809","100","25","34","351","130","2005","348","170","91","1835","324"
"0500000US42083","McKean County, Pennsylvania","41401","*****","39132","136","1048","186","63","47","212","74","21","20","309","168","616","184","36","37","580","169"
"0500000US42085","Mercer County, Pennsylvania","111518","*****","101788","160","6358","303","115","59","822","105","3","6","275","136","2157","301","65","39","2092","306"
"0500000US42087","Mifflin County, Pennsylvania","46276","*****","44839","128","248","91","92","34","153","85","29","40","232","133","683","125","6","8","677","125"
"0500000US42089","Monroe County, Pennsylvania","168032","*****","128246","1175","24704","792","573","269","4096","403","51","56","5088","991","5274","939","1302","618","3972","747"
"0500000US42091","Montgomery County, Pennsylvania","823823","*****","651356","1100","75690","1168","1046","323","62636","800","329","127","11293","1204","21473","1649","2179","505","19294","1461"
"0500000US42093","Montour County, Pennsylvania","18259","*****","17145","36","328","58","11","15","632","29","0","16","14","23","129","74","19","21","110","68"
"0500000US42095","Northampton County, Pennsylvania","302809","*****","259055","1218","17264","978","643","254","8497","373","114","56","6749","843","10487","1117","1548","376","8939","1028"
